meeting_id,user_id,support_person,scheduled_time,status,created_at
1,3,Ravi,2025-11-02 14:33:57.194493,Cancelled,2025-10-22 14:33:57.194519
2,6,Anita,2025-11-04 14:33:57.194501,Cancelled,2025-10-24 14:33:57.194521
3,1,Ravi,2025-11-04 14:33:57.194502,Cancelled,2025-10-22 14:33:57.194522
4,5,Pooja,2025-11-04 14:33:57.194504,Cancelled,2025-10-21 14:33:57.194524
5,3,Karan,2025-11-05 14:33:57.194505,Completed,2025-10-26 14:33:57.194525
6,1,Ravi,2025-11-03 14:33:57.194508,Completed,2025-10-29 14:33:57.194527
7,9,Pooja,2025-11-04 14:33:57.194509,Cancelled,2025-10-26 14:33:57.194528
8,6,Anita,2025-11-04 14:33:57.194511,Completed,2025-10-29 14:33:57.194530
9,3,Anita,2025-11-04 14:33:57.194513,Scheduled,2025-10-23 14:33:57.194531
10,6,Ravi,2025-11-02 14:33:57.194515,Cancelled,2025-10-29 14:33:57.194533
